dataset,tokenizer,sequence_length
wikitext103,word,2
wikitext103,word,167
wikitext103,word,158
wikitext103,word,1
wikitext103,word,3
wikitext103,word,134
wikitext103,word,187
wikitext103,word,3
wikitext103,word,177
wikitext103,word,222
wikitext103,word,1
wikitext103,word,1
wikitext103,word,1
wikitext103,word,1
wikitext103,word,2
wikitext103,word,103
wikitext103,word,104
wikitext103,word,1
wikitext103,word,186
wikitext103,word,2
wikitext103,word,91
wikitext103,word,58
wikitext103,word,56
wikitext103,word,121
wikitext103,word,63
wikitext103,word,133
wikitext103,word,168
wikitext103,word,64
wikitext103,word,1
wikitext103,word,182
wikitext103,word,26
wikitext103,word,91
wikitext103,word,163
wikitext103,word,22
wikitext103,word,52
wikitext103,word,1
wikitext103,word,171
wikitext103,word,2
wikitext103,word,159
wikitext103,word,79
wikitext103,word,43
wikitext103,word,56
wikitext103,word,1
wikitext103,word,25
wikitext103,word,1
wikitext103,word,103
wikitext103,word,66
wikitext103,word,2
wikitext103,word,92
wikitext103,word,66
wikitext103,word,77
wikitext103,word,2
wikitext103,word,239
wikitext103,word,104
wikitext103,word,32
wikitext103,word,75
wikitext103,word,1
wikitext103,word,66
wikitext103,word,92
wikitext103,word,129
wikitext103,word,234
wikitext103,word,126
wikitext103,word,62
wikitext103,word,4
wikitext103,word,66
wikitext103,word,293
wikitext103,word,229
wikitext103,word,1
wikitext103,word,208
wikitext103,word,110
wikitext103,word,33
wikitext103,word,7
wikitext103,word,126
wikitext103,word,138
wikitext103,word,114
wikitext103,word,50
wikitext103,word,3
wikitext103,word,140
wikitext103,word,159
wikitext103,word,3
wikitext103,word,193
wikitext103,word,195
wikitext103,word,2
wikitext103,word,232
wikitext103,word,213
wikitext103,word,2
wikitext103,word,89
wikitext103,word,174
wikitext103,word,124
wikitext103,word,126
wikitext103,word,2
wikitext103,word,241
wikitext103,word,2
wikitext103,word,2
wikitext103,word,8
wikitext103,word,8
wikitext103,word,3
wikitext103,word,15
wikitext103,word,5
wikitext103,word,5
wikitext103,word,7
wikitext103,word,4
wikitext103,word,7
wikitext103,word,3
wikitext103,word,12
wikitext103,word,11
wikitext103,word,1
wikitext103,word,1
wikitext103,word,2
wikitext103,word,4
wikitext103,word,104
wikitext103,word,210
wikitext103,word,1
wikitext103,word,91
wikitext103,word,191
wikitext103,word,116
wikitext103,word,143
wikitext103,word,3
wikitext103,word,347
wikitext103,word,114
wikitext103,word,152
wikitext103,word,1
wikitext103,word,326
wikitext103,word,184
wikitext103,word,1
wikitext103,word,163
wikitext103,word,150
wikitext103,word,309
wikitext103,word,172
wikitext103,word,237
wikitext103,word,1
wikitext103,word,207
wikitext103,word,185
wikitext103,word,4
wikitext103,word,245
wikitext103,word,1
wikitext103,word,106
wikitext103,word,4
wikitext103,word,223
wikitext103,word,2
wikitext103,word,204
wikitext103,word,3
wikitext103,word,210
wikitext103,word,210
wikitext103,word,69
wikitext103,word,2
wikitext103,word,145
wikitext103,word,154
wikitext103,word,1
wikitext103,word,1
wikitext103,word,323
wikitext103,word,3
wikitext103,word,96
wikitext103,word,160
wikitext103,word,82
wikitext103,word,106
wikitext103,word,5
wikitext103,word,283
wikitext103,word,180
wikitext103,word,226
wikitext103,word,152
wikitext103,word,226
wikitext103,word,199
wikitext103,word,2
wikitext103,word,147
wikitext103,word,94
wikitext103,word,2
wikitext103,word,213
wikitext103,word,88
wikitext103,word,1
wikitext103,word,243
wikitext103,word,204
wikitext103,word,75
wikitext103,word,167
wikitext103,word,74
wikitext103,word,2
wikitext103,word,120
wikitext103,word,92
wikitext103,word,203
wikitext103,word,100
wikitext103,word,106
wikitext103,word,1
wikitext103,word,98
wikitext103,word,4
wikitext103,word,142
wikitext103,word,131
wikitext103,word,46
wikitext103,word,2
wikitext103,word,263
wikitext103,word,218
wikitext103,word,3
wikitext103,word,147
wikitext103,word,271
wikitext103,word,207
wikitext103,word,230
wikitext103,word,291
wikitext103,word,116
wikitext103,word,193
wikitext103,word,1
wikitext103,word,21
wikitext103,word,103
wikitext103,word,5
wikitext103,word,99
wikitext103,word,94
wikitext103,word,77
wikitext103,word,1
wikitext103,word,2
wikitext103,word,220
wikitext103,word,282
wikitext103,word,2
wikitext103,word,130
wikitext103,word,105
wikitext103,word,1
wikitext103,word,177
wikitext103,word,110
wikitext103,word,161
wikitext103,word,3
wikitext103,word,169
wikitext103,word,119
wikitext103,word,125
wikitext103,word,79
wikitext103,word,126
wikitext103,word,3
wikitext103,word,100
wikitext103,word,116
wikitext103,word,166
wikitext103,word,134
wikitext103,word,102
wikitext103,word,151
wikitext103,word,91
wikitext103,word,148
wikitext103,word,243
wikitext103,word,4
wikitext103,word,220
wikitext103,word,80
wikitext103,word,152
wikitext103,word,92
wikitext103,word,146
wikitext103,word,218
wikitext103,word,4
wikitext103,word,202
wikitext103,word,117
wikitext103,word,156
wikitext103,word,201
wikitext103,word,1
wikitext103,word,158
wikitext103,word,131
wikitext103,word,179
wikitext103,word,88
wikitext103,word,3
wikitext103,word,120
wikitext103,word,175
wikitext103,word,190
wikitext103,word,6
wikitext103,word,181
wikitext103,word,145
wikitext103,word,131
wikitext103,word,181
wikitext103,word,196
wikitext103,word,240
wikitext103,word,103
wikitext103,word,1
wikitext103,word,122
wikitext103,word,126
wikitext103,word,167
wikitext103,word,91
wikitext103,word,5
wikitext103,word,148
wikitext103,word,115
wikitext103,word,179
wikitext103,word,3
wikitext103,word,73
wikitext103,word,91
wikitext103,word,244
wikitext103,word,136
wikitext103,word,277
wikitext103,word,179
wikitext103,word,104
wikitext103,word,4
wikitext103,word,174
wikitext103,word,137
wikitext103,word,125
wikitext103,word,41
wikitext103,word,3
wikitext103,word,139
wikitext103,word,1
wikitext103,word,106
wikitext103,word,117
wikitext103,word,155
wikitext103,word,2
wikitext103,word,61
wikitext103,word,85
wikitext103,word,1
wikitext103,word,11
wikitext103,word,126
wikitext103,word,173
wikitext103,word,8
wikitext103,word,168
wikitext103,word,95
wikitext103,word,154
wikitext103,word,6
wikitext103,word,108
wikitext103,word,12
wikitext103,word,209
wikitext103,word,298
wikitext103,word,72
wikitext103,word,55
wikitext103,word,1
wikitext103,word,3
wikitext103,word,142
wikitext103,word,57
wikitext103,word,1
wikitext103,word,121
wikitext103,word,2
wikitext103,word,14
wikitext103,word,13
wikitext103,word,12
wikitext103,word,13
wikitext103,word,2
wikitext103,word,13
wikitext103,word,12
wikitext103,word,15
wikitext103,word,17
wikitext103,word,16
wikitext103,word,12
wikitext103,word,9
wikitext103,word,12
wikitext103,word,7
wikitext103,word,12
wikitext103,word,9
wikitext103,word,13
wikitext103,word,1
wikitext103,word,1
wikitext103,word,2
wikitext103,word,6
wikitext103,word,5
wikitext103,word,4
wikitext103,word,4
wikitext103,word,6
wikitext103,word,7
wikitext103,word,4
wikitext103,word,6
wikitext103,word,5
wikitext103,word,4
wikitext103,word,5
wikitext103,word,2
wikitext103,word,182
wikitext103,word,112
wikitext103,word,98
wikitext103,word,2
wikitext103,word,97
wikitext103,word,2
wikitext103,word,73
wikitext103,word,125
wikitext103,word,81
wikitext103,word,2
wikitext103,word,214
wikitext103,word,2
wikitext103,word,107
wikitext103,word,139
wikitext103,word,131
wikitext103,word,85
wikitext103,word,5
wikitext103,word,54
wikitext103,word,111
wikitext103,word,289
wikitext103,word,115
wikitext103,word,12
wikitext103,word,112
wikitext103,word,164
wikitext103,word,91
wikitext103,word,122
wikitext103,word,122
wikitext103,word,122
wikitext103,word,168
wikitext103,word,90
wikitext103,word,5
wikitext103,word,59
wikitext103,word,67
wikitext103,word,98
wikitext103,word,70
wikitext103,word,49
wikitext103,word,3
wikitext103,word,104
wikitext103,word,2
wikitext103,word,60
wikitext103,word,94
wikitext103,word,115
wikitext103,word,31
wikitext103,word,4
wikitext103,word,62
wikitext103,word,73
wikitext103,word,81
wikitext103,word,180
wikitext103,word,117
wikitext103,word,64
wikitext103,word,160
wikitext103,word,60
wikitext103,word,312
wikitext103,word,130
wikitext103,word,86
wikitext103,word,56
wikitext103,word,3
wikitext103,word,2
wikitext103,word,89
wikitext103,word,69
wikitext103,word,82
wikitext103,word,5
wikitext103,word,83
wikitext103,word,92
wikitext103,word,357
wikitext103,word,120
wikitext103,word,1
wikitext103,word,175
wikitext103,word,127
wikitext103,word,3
wikitext103,word,35
wikitext103,word,7
wikitext103,word,45
wikitext103,word,85
wikitext103,word,183
wikitext103,word,119
wikitext103,word,78
wikitext103,word,83
wikitext103,word,4
wikitext103,word,87
wikitext103,word,126
wikitext103,word,76
wikitext103,word,160
wikitext103,word,67
wikitext103,word,129
wikitext103,word,5
wikitext103,word,108
wikitext103,word,152
wikitext103,word,167
wikitext103,word,119
wikitext103,word,208
wikitext103,word,75
wikitext103,word,1
wikitext103,word,149
wikitext103,word,7
wikitext103,word,19
wikitext103,word,14
wikitext103,word,14
wikitext103,word,1
wikitext103,word,415
wikitext103,word,189
wikitext103,word,135
wikitext103,word,152
wikitext103,word,139
wikitext103,word,254
