dataset,tokenizer,sequence_length
enwik8,word,201
enwik8,word,239
enwik8,word,197
enwik8,word,174
enwik8,word,171
enwik8,word,201
enwik8,word,177
enwik8,word,193
enwik8,word,380
enwik8,word,172
enwik8,word,178
enwik8,word,216
enwik8,word,215
enwik8,word,196
enwik8,word,187
enwik8,word,369
enwik8,word,165
enwik8,word,177
enwik8,word,176
enwik8,word,152
enwik8,word,335
enwik8,word,142
enwik8,word,190
enwik8,word,198
enwik8,word,165
enwik8,word,194
enwik8,word,147
enwik8,word,174
enwik8,word,207
enwik8,word,211
enwik8,word,201
enwik8,word,178
enwik8,word,195
enwik8,word,182
enwik8,word,215
enwik8,word,152
enwik8,word,197
enwik8,word,174
enwik8,word,176
enwik8,word,197
enwik8,word,177
enwik8,word,201
enwik8,word,217
enwik8,word,139
enwik8,word,160
enwik8,word,191
enwik8,word,180
enwik8,word,170
enwik8,word,197
enwik8,word,173
enwik8,word,181
enwik8,word,307
enwik8,word,122
enwik8,word,179
enwik8,word,184
enwik8,word,173
enwik8,word,197
enwik8,word,163
enwik8,word,131
enwik8,word,151
enwik8,word,183
enwik8,word,222
enwik8,word,213
enwik8,word,174
enwik8,word,183
enwik8,word,171
enwik8,word,143
enwik8,word,193
enwik8,word,178
enwik8,word,197
enwik8,word,183
enwik8,word,222
enwik8,word,204
enwik8,word,171
enwik8,word,173
enwik8,word,131
enwik8,word,144
enwik8,word,175
enwik8,word,188
enwik8,word,198
enwik8,word,192
enwik8,word,159
enwik8,word,232
enwik8,word,223
enwik8,word,184
enwik8,word,267
enwik8,word,202
enwik8,word,232
enwik8,word,164
enwik8,word,205
enwik8,word,184
enwik8,word,189
enwik8,word,188
enwik8,word,165
enwik8,word,164
enwik8,word,250
enwik8,word,178
enwik8,word,249
enwik8,word,192
enwik8,word,181
enwik8,word,181
enwik8,word,182
enwik8,word,206
enwik8,word,193
enwik8,word,174
enwik8,word,182
enwik8,word,224
enwik8,word,190
enwik8,word,201
enwik8,word,207
enwik8,word,196
enwik8,word,202
enwik8,word,181
enwik8,word,180
enwik8,word,141
enwik8,word,156
enwik8,word,218
enwik8,word,193
enwik8,word,174
enwik8,word,186
enwik8,word,217
enwik8,word,172
enwik8,word,170
enwik8,word,187
enwik8,word,173
enwik8,word,191
enwik8,word,182
enwik8,word,173
enwik8,word,199
enwik8,word,170
enwik8,word,188
enwik8,word,191
enwik8,word,249
enwik8,word,182
enwik8,word,192
enwik8,word,199
enwik8,word,202
enwik8,word,176
enwik8,word,183
enwik8,word,204
enwik8,word,333
enwik8,word,246
enwik8,word,200
enwik8,word,161
enwik8,word,243
enwik8,word,178
enwik8,word,221
enwik8,word,263
enwik8,word,171
enwik8,word,200
enwik8,word,195
enwik8,word,157
enwik8,word,185
enwik8,word,175
enwik8,word,174
enwik8,word,201
enwik8,word,256
enwik8,word,205
enwik8,word,172
enwik8,word,222
enwik8,word,210
enwik8,word,173
enwik8,word,183
enwik8,word,200
enwik8,word,194
enwik8,word,177
enwik8,word,282
enwik8,word,166
enwik8,word,217
enwik8,word,165
enwik8,word,200
enwik8,word,204
enwik8,word,150
enwik8,word,188
enwik8,word,182
enwik8,word,193
enwik8,word,146
enwik8,word,198
enwik8,word,174
enwik8,word,178
enwik8,word,215
enwik8,word,212
enwik8,word,190
enwik8,word,226
enwik8,word,188
enwik8,word,181
enwik8,word,178
enwik8,word,151
enwik8,word,208
enwik8,word,188
enwik8,word,187
enwik8,word,119
enwik8,word,221
enwik8,word,174
enwik8,word,313
enwik8,word,211
enwik8,word,175
enwik8,word,207
enwik8,word,242
enwik8,word,165
enwik8,word,183
enwik8,word,151
enwik8,word,113
enwik8,word,185
enwik8,word,189
enwik8,word,189
enwik8,word,176
enwik8,word,164
enwik8,word,201
enwik8,word,143
enwik8,word,214
enwik8,word,184
enwik8,word,209
enwik8,word,202
enwik8,word,179
enwik8,word,186
enwik8,word,177
enwik8,word,200
enwik8,word,188
enwik8,word,193
enwik8,word,206
enwik8,word,216
enwik8,word,137
enwik8,word,182
enwik8,word,164
enwik8,word,251
enwik8,word,220
enwik8,word,144
enwik8,word,184
enwik8,word,208
enwik8,word,175
enwik8,word,209
enwik8,word,226
enwik8,word,182
enwik8,word,193
enwik8,word,183
enwik8,word,181
enwik8,word,197
enwik8,word,238
enwik8,word,182
enwik8,word,208
enwik8,word,169
enwik8,word,188
enwik8,word,115
enwik8,word,190
enwik8,word,210
enwik8,word,142
enwik8,word,177
enwik8,word,198
enwik8,word,158
enwik8,word,170
enwik8,word,173
enwik8,word,266
enwik8,word,187
enwik8,word,166
enwik8,word,201
enwik8,word,236
enwik8,word,207
enwik8,word,243
enwik8,word,195
enwik8,word,210
enwik8,word,186
enwik8,word,190
enwik8,word,191
enwik8,word,215
enwik8,word,203
enwik8,word,168
enwik8,word,191
enwik8,word,152
enwik8,word,233
enwik8,word,194
enwik8,word,205
enwik8,word,192
enwik8,word,203
enwik8,word,186
enwik8,word,262
enwik8,word,202
enwik8,word,177
enwik8,word,174
enwik8,word,204
enwik8,word,192
enwik8,word,212
enwik8,word,191
enwik8,word,169
enwik8,word,176
enwik8,word,199
enwik8,word,190
enwik8,word,295
enwik8,word,198
enwik8,word,182
enwik8,word,190
enwik8,word,201
enwik8,word,260
enwik8,word,198
enwik8,word,137
enwik8,word,180
enwik8,word,370
enwik8,word,160
enwik8,word,289
enwik8,word,187
enwik8,word,185
enwik8,word,158
enwik8,word,379
enwik8,word,182
enwik8,word,187
enwik8,word,188
enwik8,word,204
enwik8,word,180
enwik8,word,190
enwik8,word,237
enwik8,word,237
enwik8,word,204
enwik8,word,201
enwik8,word,177
enwik8,word,196
enwik8,word,187
enwik8,word,178
enwik8,word,192
enwik8,word,196
enwik8,word,161
enwik8,word,216
enwik8,word,195
enwik8,word,245
enwik8,word,172
enwik8,word,189
enwik8,word,196
enwik8,word,198
enwik8,word,191
enwik8,word,172
enwik8,word,180
enwik8,word,371
enwik8,word,227
enwik8,word,207
enwik8,word,197
enwik8,word,175
enwik8,word,192
enwik8,word,189
enwik8,word,143
enwik8,word,178
enwik8,word,216
enwik8,word,205
enwik8,word,228
enwik8,word,277
enwik8,word,167
enwik8,word,173
enwik8,word,173
enwik8,word,179
enwik8,word,208
enwik8,word,183
enwik8,word,203
enwik8,word,175
enwik8,word,139
enwik8,word,199
enwik8,word,210
enwik8,word,193
enwik8,word,230
enwik8,word,320
enwik8,word,175
enwik8,word,203
enwik8,word,164
enwik8,word,210
enwik8,word,174
enwik8,word,209
enwik8,word,178
enwik8,word,376
enwik8,word,131
enwik8,word,190
enwik8,word,171
enwik8,word,185
enwik8,word,176
enwik8,word,220
enwik8,word,204
enwik8,word,200
enwik8,word,207
enwik8,word,171
enwik8,word,189
enwik8,word,189
enwik8,word,188
enwik8,word,172
enwik8,word,190
enwik8,word,178
enwik8,word,161
enwik8,word,172
enwik8,word,172
